입금 2020-12-12 1:11 | 100000원 잔액 : 100000원
입금 2020-12-12 1:56 | 100000원 잔액 : 4161107원
입금 2020-12-12 1:56 | 100000원 잔액 : 4261107원
출금 2020-12-12 1:56 | 50000원 잔액 : 4211107원
출금 2020-12-12 1:56 | 50000원 잔액 : 4161107원
출금 2020-12-12 1:56 | 50000원 잔액 : 4111107원
출금 2020-12-12 1:56 | 50000원 잔액 : 4061107원
출금 2020-12-12 1:56 | 50000원 잔액 : 4011107원
출금 2020-12-12 1:56 | 50000원 잔액 : 3961107원
출금 2020-12-12 2:20 | 300000원 잔액 : 3661107원
출금 2020-12-12 2:20 | 300000원 잔액 : 3361107원
출금 2020-12-12 2:20 | 300000원 잔액 : 3061107원
출금 2020-12-12 2:20 | 300000원 잔액 : 2761107원
출금 2020-12-12 2:20 | 300000원 잔액 : 2461107원
출금 2020-12-12 2:20 | 300000원 잔액 : 2161107원
출금 2020-12-12 2:20 | 300000원 잔액 : 1861107원
출금 2020-12-12 2:21 | 610000원 잔액 : 1251107원
출금 2020-12-12 2:21 | 610000원 잔액 : 641107원
출금 2020-12-12 2:21 | 610000원 잔액 : 31107원
출금 2020-12-12 2:22 | 5000원 잔액 : 26107원
출금 2020-12-12 2:22 | 5000원 잔액 : 21107원
출금 2020-12-12 2:22 | 5000원 잔액 : 16107원
출금 2020-12-12 2:22 | 5000원 잔액 : 11107원
출금 2020-12-12 2:22 | 5000원 잔액 : 6107원
출금 2020-12-12 2:22 | 100000원 잔액 : -93893원
출금 2020-12-12 2:22 | 100000원 잔액 : -93893원
입금 2020-12-12 2:22 | 100000원 잔액 : 6107원
입금 2020-12-12 2:22 | 100000원 잔액 : 106107원
입금 2020-12-12 2:22 | 100000원 잔액 : 206107원
입금 2020-12-12 2:22 | 100000원 잔액 : 306107원
출금 2020-12-12 2:22 | 300000원 잔액 : 6107원
출금 2020-12-12 2:22 | 300000원 잔액 : -293893원
출금 2020-12-12 2:22 | 300000원 잔액 : -293893원
입금 2020-12-12 2:23 | 100000원 잔액 : -193893원
입금 2020-12-12 2:23 | 100000원 잔액 : -93893원
입금 2020-12-12 2:23 | 100000원 잔액 : 6107원
입금 2020-12-12 2:23 | 100000원 잔액 : 106107원
출금 2020-12-12 2:23 | 100000원 잔액 : 6107원
출금 2020-12-12 2:23 | 100000원 잔액 : -93893원
입금 2020-12-12 2:25 | 100000원 잔액 : 6107원
출금 2020-12-12 2:25 | 100000원 잔액 : -93893원
입금 2020-12-12 2:26 | 100000원 잔액 : 6107원
입금 2020-12-12 2:26 | 100000원 잔액 : 106107원
입금 2020-12-12 2:26 | 100000원 잔액 : 206107원
입금 2020-12-12 2:26 | 100000원 잔액 : 306107원
출금 2020-12-12 2:35 | 300000원 잔액 : 6107원
출금 2020-12-12 2:36 | 6107원 잔액 : 0원
